S.No.,date,day,population,area,genotype_id,Flower_id,treatment,length_mm,width_mm,ratio_len_wid,Flower_size,tunnel_length,entr_length,entr_height,tunnel_volume_cm,bp_area,fruit,seed,seed_weight
142,2024-02-15,9,KUR,GREEN,K210,210.5,CONTROL,70.3,61.1,1.1505728314238952,42.9533,32.6,11.3,8.1,2.9838780000000003,7.012,0.0,0.0,
143,2024-02-15,9,KUR,GREEN,K210,210.6,CONTROL,76.8,62.9,1.2209856915739268,48.307199999999995,31.0,15.7,8.6,4.18562,6.094,1.0,12.0,0.28
144,2024-02-15,9,KUR,GREEN,K210,210.7,CONTROL,69.8,58.1,1.2013769363166953,40.5538,28.0,10.3,7.2,2.0764800000000005,6.252,0.0,0.0,
145,2024-02-15,9,KUR,GREEN,K210,210.8,CONTROL,69.2,55.7,1.2423698384201076,38.5444,34.5,15.2,9.2,4.824479999999999,6.482,1.0,21.0,0.58
146,2024-02-15,9,KUR,GREEN,K210,210.9,CONTROL,69.9,58.3,1.1989708404802746,40.7517,36.1,14.6,9.6,5.059776000000001,7.017,0.0,0.0,
147,2024-02-15,9,KUR,BLUE,K215b,215.1,CONTROL,80.6,63.0,1.2793650793650793,50.77799999999999,31.5,13.4,9.4,3.96774,7.998,1.0,48.0,1.9
148,2024-02-15,9,KUR,Yellow,K215,215.2,CONTROL,67.1,59.2,1.1334459459459458,39.7232,28.1,13.7,7.1,2.7332870000000002,8.418,0.0,0.0,
149,2024-02-15,9,KUR,Yellow,K215,215.3,CONTROL,72.8,61.2,1.1895424836601307,44.553599999999996,28.9,17.3,8.1,4.049757,7.733,1.0,34.0,0.9
150,2024-02-15,9,KUR,Yellow,K140,140.1,CONTROL,67.1,56.4,1.1897163120567376,37.84439999999999,35.7,14.0,8.9,4.448220000000001,7.22,1.0,60.0,2.48
151,2024-02-15,9,KUR,Yellow,K140,140.2,CONTROL,68.4,56.8,1.2042253521126762,38.851200000000006,32.6,14.0,8.5,3.8794,7.078,1.0,40.0,1.38
152,2024-02-15,9,KUR,Yellow,K216,216.1,CONTROL,76.1,60.6,1.2557755775577557,46.1166,30.8,11.2,8.8,3.035648,9.485,0.0,0.0,
153,2024-02-15,9,KUR,Yellow,K216,216.2,CONTROL,76.1,62.1,1.2254428341384862,47.25809999999999,31.3,12.8,6.7,2.6842880000000005,8.667,1.0,8.0,0.36
154,2024-02-15,9,KUR,BROWN,K211,211.2,CONTROL,72.5,63.3,1.1453396524486572,45.8925,34.0,17.5,10.2,6.069,7.631,0.0,0.0,
155,2024-02-15,9,KUR,BROWN,K211,211.3,CONTROL,75.2,65.6,1.1463414634146343,49.331199999999995,35.0,13.3,7.9,3.6774500000000003,8.342,0.0,0.0,
