Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Genotype,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Size category,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight,Unnamed: 28,Unnamed: 29,Area,NET ID,No. flowers,Unnamed: 33,NO.,Group,Unnamed: 36,Unnamed: 37,ID.2,Size,No. flowers.1,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,ID.3,Unnamed: 47,Size.1,No. flowers.2,Location,Unnamed: 51,Unnamed: 52,Unnamed: 53,ID.4,Unnamed: 55,Size.2,No. flowers.3,Location.1,Unnamed: 59,Yer-BASECAMP,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,ID.5,Unnamed: 70,Size.3,No. flowers.4,Location.2,Unnamed: 74,Unnamed: 75,Location.3,ID.6,Unnamed: 78,Size.4,No. flowers.5,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Area.1,NET ID.1,Tag,No. of flowers,Unnamed: 91,Area.2,NET ID.2,Tag.1,No. of flowers.1
416,148,I.petrana,YER,2023-03-19,226,1,YER_226.1,41.7,63.2,0.6598101265822784,2635.4400000000005,26.354400000000002,S,27.2,11.9,7.6,226,3.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,131.5,26.3,,,,,,,35.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,182,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,256,I.petrana,YER,2023-03-22,156,1,YER_156.1,40.0,42.7,0.9367681498829039,1708.0,17.080000000000002,S,25.1,12.6,8.9,156,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,153.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,183,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,43,I.petrana,YER,2023-03-16,87,1,YER_87.1,45.5,47.1,0.9660297239915074,2143.05,21.4305,S,22.1,11.3,9.3,87,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,903.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,184,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,88,I.petrana,YER,2023-03-16,105,1,YER_105.1,40.2,56.0,0.7178571428571429,2251.2000000000003,22.512,S,25.6,11.5,6.9,105,2.0,2.0,0.0,2.0,0.0,2.0,1.0,25.0,578.5,23.14,,,,,,,904.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,185,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,213,I.petrana,YER,2023-03-22,228,1,YER_228.1,47.1,49.9,0.9438877755511023,2350.29,23.5029,S,25.1,12.5,10.2,228,2.0,1.0,1.0,,1.0,,,,,,,,,,,,908.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,186,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,245,I.petrana,YER,2023-03-22,117,1,YER_117.1,47.7,49.5,0.9636363636363637,2361.15,23.611500000000003,S,24.1,12.7,8.3,117,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,909.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,187,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,80,I.petrana,YER,2023-03-16,112,1,YER_112.1,45.8,52.6,0.8707224334600759,2409.08,24.090799999999998,S,26.2,12.5,7.1,112,2.0,1.0,1.0,1.0,1.0,2.0,1.0,18.0,456.2,25.344444444444445,,,,,,,910.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,188,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,4,I.petrana,YER,2023-03-09,122,1,YER_122.1,53.2,49.5,1.0747474747474748,2633.4,26.334000000000003,S,25.8,11.8,7.4,122,2.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,118.6,19.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,249,I.petrana,YER,2023-03-22,1,1,YER_1.1,42.1,44.2,0.9524886877828054,1860.8200000000002,18.6082,S,26.2,9.3,9.7,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,57,I.petrana,YER,2023-03-16,211,1,YER_211.1,45.4,43.3,1.048498845265589,1965.8199999999997,19.6582,S,19.6,9.1,8.2,211,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
