Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
90,3,I.atropurpurea,KUR,2023-02-14,184,1,85.35,65.9,1.2951441578148708,5624.5650000000005,56.245650000000005,25.1,9.6,8.6,141751,,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,4,I.atropurpurea,KUR,2023-02-14,184,2,57.7,67.8,0.8510324483775812,3912.06,39.120599999999996,23.9,10.0,3.5,141802,,,,,,,,0.0,0.0,0.0,0.0
92,61,I.atropurpurea,KUR,2023-03-01,184,3,64.3,58.2,1.1048109965635737,3742.26,37.4226,23.7,10.4,7.3,143008,,,,,,,,0.0,0.0,0.0,0.0
93,62,I.atropurpurea,KUR,2023-03-01,184,4,56.6,57.6,0.9826388888888888,3260.1600000000003,32.6016,,,,143022,,,,,,,,0.0,0.0,0.0,0.0
94,63,I.atropurpurea,KUR,2023-03-01,184,5,66.1,58.2,1.13573883161512,3847.02,38.4702,,,,143022,,,,,,,,0.0,0.0,0.0,0.0
95,101,I.atropurpurea,KUR,2023-03-08,184,6,52.2,49.9,1.0460921843687376,2604.78,26.047800000000006,23.1,10.0,6, - ,,,,,,,,0.0,0.0,0.0,0.0
96,5,I.atropurpurea,KUR,2023-02-14,185,1,59.2,54.5,1.0862385321100918,3226.4,32.264,25.1,15.7,8.9,143642,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
97,6,I.atropurpurea,KUR,2023-02-23,186,1,72.4,72.8,0.9945054945054946,5270.72,52.7072,28.4,15.2,9.9,91905,,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,8,I.atropurpurea,KUR,2023-02-23,187,1,73.7,69.0,1.0681159420289856,5085.3,50.853,26.4,13.3,8.8,93510,,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,9,I.atropurpurea,KUR,2023-02-23,187,2,69.0,57.5,1.2,3967.5,39.675000000000004,,,, -,,,,,,,,0.0,0.0,0.0,0.0
100,10,I.atropurpurea,KUR,2023-02-23,187,3,66.7,67.6,0.9866863905325445,4508.92,45.0892,,,, -,,,,,,,,0.0,0.0,0.0,0.0
101,43,I.atropurpurea,KUR,2023-03-01,187,4,70.5,53.7,1.312849162011173,3785.8500000000004,37.8585,30.0,10.0,9.1,113125,,,,,,,,0.0,0.0,0.0,0.0
102,11,I.atropurpurea,KUR,2023-02-23,188,1,57.8,52.0,1.1115384615384616,3005.6,30.055999999999997,23.6,14.2,5.7,102909,Not fully open,9.0,2.0,7.0,1.0,0.0,1.0,1.0,27.0,532.0,19.703703703703702
103,50,I.atropurpurea,KUR,2023-03-01,188,2,67.8,68.0,0.9970588235294118,4610.4,46.10399999999999,29.6,14.5,6.5,120335,,,,,,,,0.0,0.0,0.0,0.0
104,12,I.atropurpurea,KUR,2023-02-23,189,1,65.8,59.3,1.109612141652614,3901.9399999999996,39.0194,23.0,10.1,6.9,101844,,5.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
105,13,I.atropurpurea,KUR,2023-02-23,189,2,62.0,51.6,1.2015503875968991,3199.2000000000003,31.992,22.4,11.2,6.3,101907,,,,,,,,1.0,6.0,147.4,24.566666666666666
106,14,I.atropurpurea,KUR,2023-02-23,189,3,61.2,52.8,1.1590909090909092,3231.36,32.313599999999994,23.6,11.3,8,102220,,,,,,,,1.0,7.0,205.3,29.32857142857143
107,33,I.atropurpurea,KUR,2023-03-01,189,4,54.1,51.0,1.0607843137254902,2759.1,27.590999999999998,23.6,14.0,7.2,101703,,,,,,,,0.0,0.0,0.0,0.0
